reading_date,district,temp_c,rainfall_mm,humidity_percent
2026-01-03,Saharanpur,27.1,55.12,74.0
2026-01-03,Sirsa,17.65,116.37,44.67
2026-01-04,Agra,34.5,162.06,62.0
2026-01-04,Ambala,29.35,18.79,58.0
2026-01-04,Amritsar,27.17,33.28,65.0
2026-01-04,Bareilly,27.98,96.49,56.33
2026-01-04,Bathinda,34.1,57.6,65.0
2026-01-04,Fatehabad,33.44,104.5,78.8
2026-01-04,Ferozepur,30.53,45.9,64.0
2026-01-04,Hisar,28.6,197.17,69.67
2026-01-04,Jalandhar,27.84,80.6,58.25
2026-01-04,Karnal,31.15,31.3,55.0
2026-01-04,Kurukshetra,32.95,37.6,65.0
2026-01-04,Ludhiana,32.33,73.9,68.0
2026-01-04,Meerut,27.3,22.5,63.5
2026-01-04,Moga,17.25,34.3,79.5
2026-01-04,Muzaffarnagar,22.4,31.4,89.0
2026-01-04,Saharanpur,27.26,108.75,72.2
2026-01-04,Sirsa,20.7,0.0,80.0
2026-01-05,Agra,27.55,149.59,73.0
2026-01-05,Ambala,35.17,91.03,56.0
2026-01-05,Amritsar,30.05,54.7,59.0
2026-01-05,Bareilly,27.72,66.69,66.0
2026-01-05,Bathinda,22.35,1.8,46.5
2026-01-05,Fatehabad,30.3,97.1,56.4
2026-01-05,Ferozepur,22.15,75.4,61.5
2026-01-05,Hisar,26.98,113.05,69.4
2026-01-05,Karnal,28.15,61.8,51.0
2026-01-05,Kurukshetra,28.53,124.98,76.0
2026-01-05,Ludhiana,26.93,37.4,49.5
2026-01-05,Meerut,28.85,127.38,55.5
2026-01-05,Patiala,38.3,23.7,74.0
2026-01-05,Saharanpur,36.4,23.2,
2026-01-05,Sirsa,30.9,70.4,41.67
2026-01-06,Agra,24.5,20.2,64.0
2026-01-06,Ambala,21.8,39.6,58.0
2026-01-06,Amritsar,30.1,133.35,81.0
2026-01-06,Bareilly,27.6,40.5,79.5
2026-01-06,Bathinda,25.65,48.0,57.5
2026-01-06,Fatehabad,24.1,89.6,58.33
2026-01-06,Ferozepur,27.73,105.8,55.0
2026-01-06,Hisar,28.53,127.01,43.67
2026-01-06,Jalandhar,23.28,100.0,62.17
2026-01-06,Karnal,29.4,8.7,72.0
2026-01-06,Kurukshetra,28.78,67.0,60.8
2026-01-06,Ludhiana,30.7,41.8,70.5
2026-01-06,Meerut,26.32,90.2,71.2
2026-01-06,Moga,16.05,59.3,59.5
2026-01-06,Patiala,34.52,92.2,48.6
2026-01-06,Saharanpur,34.4,0.0,34.0
2026-01-06,Sirsa,23.55,49.53,39.0
2026-01-07,Agra,23.4,49.91,57.0
2026-01-07,Ambala,16.8,0.0,88.0
2026-01-07,Amritsar,26.1,51.46,62.4
2026-01-07,Bareilly,30.08,76.45,68.25
2026-01-07,Bathinda,29.2,53.98,72.75
2026-01-07,Fatehabad,24.9,57.65,48.5
2026-01-07,Ferozepur,31.02,97.29,52.0
2026-01-07,Hisar,24.8,125.16,68.83
2026-01-07,Jalandhar,30.42,49.32,51.2
2026-01-07,Karnal,24.75,73.62,57.67
2026-01-07,Kurukshetra,26.37,78.49,65.33
2026-01-07,Ludhiana,27.38,197.65,53.11
2026-01-07,Meerut,39.3,40.8,82.0
2026-01-07,Moga,28.7,102.05,44.67
2026-01-07,Muzaffarnagar,26.28,74.19,81.33
2026-01-07,Patiala,37.2,15.5,45.0
2026-01-07,Saharanpur,37.7,0.0,
2026-01-07,Sirsa,21.67,99.48,42.33
2026-01-08,Agra,27.15,31.9,78.0
2026-01-08,Ambala,32.3,72.0,64.0
2026-01-08,Amritsar,27.7,87.2,52.0
2026-01-08,Bareilly,28.55,28.14,75.0
2026-01-08,Bathinda,27.75,59.04,63.75
2026-01-08,Fatehabad,27.82,104.85,74.25
2026-01-08,Ferozepur,26.05,2.54,56.0
2026-01-08,Hisar,25.35,71.77,77.0
2026-01-08,Jalandhar,27.9,63.23,66.33
2026-01-08,Karnal,22.07,59.4,90.33
2026-01-08,Kurukshetra,27.9,101.5,61.33
2026-01-08,Ludhiana,32.15,3.5,89.0
2026-01-08,Meerut,22.43,55.88,65.33
2026-01-08,Moga,17.9,1.5,94.0
2026-01-08,Muzaffarnagar,17.2,39.1,92.0
2026-01-08,Patiala,34.8,0.0,50.0
2026-01-08,Sirsa,21.6,32.4,79.0
2026-01-09,Agra,33.7,0.0,63.0
2026-01-09,Ambala,31.83,53.7,50.67
2026-01-09,Amritsar,22.85,25.1,72.0
2026-01-09,Bareilly,22.96,139.23,56.0
2026-01-09,Bathinda,24.45,107.45,52.83
2026-01-09,Fatehabad,34.0,12.1,93.0
2026-01-09,Ferozepur,27.52,16.4,63.33
2026-01-09,Hisar,31.42,140.2,64.75
2026-01-09,Jalandhar,28.13,33.3,66.0
2026-01-09,Karnal,27.35,86.06,69.25
2026-01-09,Kurukshetra,31.92,112.44,60.0
2026-01-09,Ludhiana,23.35,38.8,36.0
2026-01-09,Meerut,35.95,53.3,48.5
2026-01-09,Muzaffarnagar,24.0,28.05,55.0
2026-01-09,Patiala,30.78,12.5,68.25
2026-01-09,Saharanpur,34.65,52.6,51.5
2026-01-09,Sirsa,25.05,33.3,55.5
2026-01-10,Agra,16.5,16.1,36.0
2026-01-10,Ambala,20.6,42.4,54.5
2026-01-10,Bareilly,30.13,50.2,49.67
2026-01-10,Bathinda,39.9,19.9,61.0
2026-01-10,Fatehabad,28.15,10.2,53.5
2026-01-10,Ferozepur,30.47,62.1,66.0
2026-01-10,Hisar,34.01,151.48,65.57
2026-01-10,Jalandhar,27.1,79.8,47.5
2026-01-10,Karnal,36.5,0.0,67.0
2026-01-10,Kurukshetra,26.92,131.16,55.0
2026-01-10,Ludhiana,27.45,19.46,69.0
2026-01-10,Meerut,36.85,39.7,59.0
2026-01-10,Moga,23.8,10.7,80.0
2026-01-10,Patiala,26.17,126.28,56.29
2026-01-10,Saharanpur,27.34,154.33,63.8
2026-01-10,Sirsa,27.9,46.8,
2026-01-11,Agra,18.68,76.8,54.75
2026-01-11,Ambala,25.96,134.52,64.86
2026-01-11,Amritsar,28.92,91.0,71.0
2026-01-11,Bareilly,30.37,56.55,59.33
2026-01-11,Bathinda,24.95,95.32,69.5
2026-01-11,Fatehabad,25.1,22.0,74.0
2026-01-11,Ferozepur,35.15,39.9,35.5
2026-01-11,Hisar,26.53,18.03,60.33
2026-01-11,Jalandhar,21.9,72.3,69.0
2026-01-11,Karnal,22.6,29.47,79.0
2026-01-11,Kurukshetra,23.73,109.35,48.0
2026-01-11,Ludhiana,24.87,56.3,78.0
2026-01-11,Meerut,27.1,101.2,62.67
2026-01-11,Moga,27.25,129.52,62.25
2026-01-11,Muzaffarnagar,25.25,18.5,61.5
2026-01-11,Patiala,31.67,64.85,48.67
2026-01-11,Saharanpur,22.05,61.46,72.5
2026-01-11,Sirsa,23.3,0.0,61.5
2026-01-12,Agra,37.3,21.2,63.0
2026-01-12,Ambala,24.8,57.4,50.5
2026-01-12,Amritsar,25.97,82.13,81.33
2026-01-12,Bareilly,29.9,37.1,41.0
2026-01-12,Bathinda,23.94,204.68,45.75
2026-01-12,Fatehabad,23.3,83.22,71.0
2026-01-12,Ferozepur,27.72,89.7,64.2
2026-01-12,Hisar,31.75,46.59,80.0
2026-01-12,Jalandhar,19.9,3.81,
2026-01-12,Karnal,35.7,78.82,47.0
2026-01-12,Kurukshetra,25.7,0.0,64.0
2026-01-12,Ludhiana,29.65,92.62,36.5
2026-01-12,Meerut,31.2,42.5,37.0
2026-01-12,Moga,19.3,0.0,
2026-01-12,Patiala,28.6,0.5,81.0
2026-01-12,Saharanpur,20.57,85.7,60.33
2026-01-12,Sirsa,27.5,12.1,33.0
2026-01-13,Agra,29.9,63.19,86.5
2026-01-13,Ambala,21.0,109.07,50.67
2026-01-13,Amritsar,25.67,78.3,79.0
2026-01-13,Bareilly,30.9,39.09,72.33
2026-01-13,Bathinda,29.95,138.4,65.0
2026-01-13,Fatehabad,21.65,31.4,50.0
2026-01-13,Ferozepur,31.6,73.8,49.25
2026-01-13,Hisar,23.9,40.17,55.0
2026-01-13,Jalandhar,27.65,31.3,44.5
2026-01-13,Karnal,26.12,149.05,59.25
2026-01-13,Kurukshetra,17.0,22.61,69.0
2026-01-13,Ludhiana,26.36,114.83,47.2
2026-01-13,Meerut,22.1,35.31,80.0
2026-01-13,Moga,30.13,135.38,57.67
2026-01-13,Saharanpur,21.9,16.4,46.5
2026-01-13,Sirsa,23.6,43.2,78.0
2026-01-14,Agra,19.5,38.8,66.0
2026-01-14,Ambala,23.27,76.04,57.33
2026-01-14,Amritsar,25.13,91.71,56.5
2026-01-14,Bareilly,23.3,91.4,58.2
2026-01-14,Bathinda,29.85,7.1,38.0
2026-01-14,Fatehabad,38.4,98.69,67.5
2026-01-14,Ferozepur,28.05,53.6,85.0
2026-01-14,Hisar,25.93,55.7,59.0
2026-01-14,Jalandhar,25.45,0.0,67.0
2026-01-14,Karnal,23.88,141.38,47.0
2026-01-14,Kurukshetra,26.4,30.9,89.0
2026-01-14,Ludhiana,28.02,44.9,66.5
2026-01-14,Meerut,30.27,48.83,44.33
2026-01-14,Moga,25.83,5.3,57.67
2026-01-14,Muzaffarnagar,24.2,75.3,66.33
2026-01-14,Patiala,27.23,70.58,93.0
2026-01-14,Saharanpur,27.9,63.5,50.5
2026-01-14,Sirsa,19.7,0.0,59.0
2026-01-15,Agra,30.57,79.99,79.0
2026-01-15,Ambala,28.53,48.9,79.33
2026-01-15,Amritsar,20.9,51.4,73.33
2026-01-15,Bareilly,25.3,31.25,62.6
2026-01-15,Bathinda,21.4,25.0,81.67
2026-01-15,Fatehabad,16.5,43.18,
2026-01-15,Ferozepur,28.32,127.87,49.33
2026-01-15,Hisar,32.55,0.0,61.0
2026-01-15,Jalandhar,31.75,10.2,63.5
2026-01-15,Karnal,28.0,92.48,68.25
2026-01-15,Kurukshetra,26.07,75.7,59.0
2026-01-15,Ludhiana,28.35,42.2,72.5
2026-01-15,Meerut,34.15,8.9,81.0
2026-01-15,Moga,22.8,29.92,61.33
2026-01-15,Muzaffarnagar,33.6,0.0,38.0
2026-01-15,Patiala,25.4,34.0,68.25
2026-01-15,Saharanpur,29.18,126.94,49.25
2026-01-16,Agra,32.85,43.88,61.5
2026-01-16,Ambala,26.65,156.1,59.6
2026-01-16,Amritsar,17.7,21.8,70.0
2026-01-16,Bareilly,24.57,39.67,80.0
2026-01-16,Bathinda,35.35,62.77,73.75
2026-01-16,Fatehabad,34.55,40.0,56.0
2026-01-16,Ferozepur,33.0,18.8,80.0
2026-01-16,Hisar,27.52,30.4,50.0
2026-01-16,Jalandhar,35.76,57.27,44.5
2026-01-16,Karnal,24.23,97.82,77.5
2026-01-16,Kurukshetra,31.28,115.42,61.5
2026-01-16,Ludhiana,28.05,36.1,41.0
2026-01-16,Meerut,23.55,58.3,50.5
2026-01-16,Moga,27.25,59.9,60.0
2026-01-16,Muzaffarnagar,31.23,42.8,67.0
2026-01-16,Patiala,34.05,49.2,
2026-01-16,Saharanpur,29.42,90.6,63.25
2026-01-16,Sirsa,24.6,81.81,62.5
2026-01-17,Agra,27.0,8.89,33.0
2026-01-17,Ambala,32.9,0.0,34.0
2026-01-17,Amritsar,34.7,159.09,45.25
2026-01-17,Bareilly,28.53,68.93,80.33
2026-01-17,Bathinda,28.8,93.21,53.5
2026-01-17,Fatehabad,30.08,37.93,71.67
2026-01-17,Ferozepur,29.43,56.46,64.33
2026-01-17,Jalandhar,30.08,124.1,71.67
2026-01-17,Karnal,30.8,144.82,74.67
2026-01-17,Kurukshetra,29.34,146.68,62.67
2026-01-17,Ludhiana,30.32,50.5,61.0
2026-01-17,Meerut,37.9,45.97,39.0
2026-01-17,Moga,29.93,11.5,48.0
2026-01-17,Muzaffarnagar,27.38,92.9,65.0
2026-01-17,Patiala,29.7,30.5,34.0
2026-01-17,Saharanpur,28.74,164.22,82.4
2026-01-18,Agra,22.05,31.6,55.0
2026-01-18,Ambala,30.3,9.1,53.0
2026-01-18,Amritsar,22.8,18.3,89.0
2026-01-18,Bareilly,16.6,26.3,89.0
2026-01-18,Bathinda,26.45,14.73,63.0
2026-01-18,Ferozepur,24.88,126.27,63.25
2026-01-18,Hisar,24.62,88.6,69.0
2026-01-18,Jalandhar,28.5,73.0,51.0
2026-01-18,Karnal,29.11,213.59,65.67
2026-01-18,Kurukshetra,26.55,39.04,67.5
2026-01-18,Ludhiana,34.45,16.2,59.0
2026-01-18,Meerut,33.9,41.0,84.0
2026-01-18,Muzaffarnagar,32.4,37.34,90.0
2026-01-18,Patiala,16.3,27.0,77.0
2026-01-18,Saharanpur,33.67,51.4,87.0
2026-01-18,Sirsa,34.6,0.0,95.0
2026-01-19,Ambala,23.35,28.1,73.5
2026-01-19,Amritsar,24.82,85.89,64.5
2026-01-19,Bathinda,24.4,60.5,62.33
2026-01-19,Fatehabad,35.0,0.51,42.0
2026-01-19,Ferozepur,30.33,32.2,40.5
2026-01-19,Hisar,27.88,85.69,53.5
2026-01-19,Jalandhar,15.1,36.1,44.0
2026-01-19,Karnal,23.72,146.05,55.75
2026-01-19,Kurukshetra,28.38,108.9,58.0
2026-01-19,Ludhiana,30.05,36.75,47.0
2026-01-19,Meerut,26.02,219.24,76.0
2026-01-19,Moga,26.17,68.9,50.0
2026-01-19,Muzaffarnagar,22.73,103.55,49.67
2026-01-19,Patiala,27.98,78.3,47.25
2026-01-19,Saharanpur,27.77,55.39,40.0
2026-01-19,Sirsa,30.4,40.39,40.0
2026-01-20,Agra,37.7,20.57,73.5
2026-01-20,Ambala,36.47,71.37,67.0
2026-01-20,Amritsar,29.5,86.84,68.75
2026-01-20,Bareilly,28.0,19.28,79.0
2026-01-20,Bathinda,32.32,116.91,58.0
2026-01-20,Fatehabad,25.85,53.42,90.0
2026-01-20,Ferozepur,28.37,65.2,63.8
2026-01-20,Hisar,26.97,66.3,39.67
2026-01-20,Jalandhar,31.0,43.69,74.0
2026-01-20,Karnal,28.1,39.88,90.0
2026-01-20,Kurukshetra,24.43,67.9,53.67
2026-01-20,Ludhiana,20.43,82.7,49.0
2026-01-20,Meerut,38.4,0.0,
2026-01-20,Moga,23.9,5.08,48.0
2026-01-20,Muzaffarnagar,21.8,69.49,51.0
2026-01-20,Patiala,22.8,23.9,67.0
2026-01-20,Saharanpur,23.65,74.6,61.5
2026-01-20,Sirsa,29.2,22.9,60.33
2026-01-21,Agra,28.0,103.58,68.25
2026-01-21,Ambala,25.34,101.73,60.0
2026-01-21,Amritsar,23.36,139.9,53.2
2026-01-21,Bareilly,20.7,19.2,63.0
2026-01-21,Bathinda,28.8,57.42,75.5
2026-01-21,Fatehabad,32.3,37.6,41.0
2026-01-21,Ferozepur,15.1,13.8,
2026-01-21,Hisar,24.07,52.0,70.5
2026-01-21,Jalandhar,17.8,9.7,76.0
2026-01-21,Kurukshetra,34.83,99.4,81.5
2026-01-21,Ludhiana,23.14,146.99,65.2
2026-01-21,Meerut,22.98,102.2,55.33
2026-01-21,Moga,26.9,112.69,49.14
2026-01-21,Muzaffarnagar,24.4,81.0,84.5
2026-01-21,Saharanpur,23.0,55.3,48.5
2026-01-21,Sirsa,29.2,54.75,65.5
2026-01-22,Agra,31.7,81.3,57.33
2026-01-22,Ambala,30.7,71.6,54.67
2026-01-22,Amritsar,29.9,11.9,
2026-01-22,Bareilly,29.85,147.1,69.0
2026-01-22,Bathinda,18.0,0.0,66.0
2026-01-22,Fatehabad,24.35,43.2,88.0
2026-01-22,Ferozepur,20.9,92.09,58.0
2026-01-22,Hisar,31.3,9.91,87.0
2026-01-22,Jalandhar,25.37,77.62,77.5
2026-01-22,Karnal,38.05,21.19,90.0
2026-01-22,Kurukshetra,29.67,37.54,55.0
2026-01-22,Ludhiana,29.2,64.5,79.67
2026-01-22,Moga,25.8,98.48,57.33
2026-01-22,Muzaffarnagar,32.38,104.4,54.0
2026-01-22,Patiala,33.8,25.9,43.0
2026-01-22,Sirsa,24.9,0.0,72.0
2026-01-23,Agra,29.7,44.96,53.0
2026-01-23,Ambala,22.4,2.9,33.0
2026-01-23,Amritsar,27.3,28.7,
2026-01-23,Bareilly,31.0,24.64,85.0
2026-01-23,Bathinda,25.76,139.7,59.6
2026-01-23,Fatehabad,33.1,0.0,39.0
2026-01-23,Ferozepur,27.13,181.17,63.2
2026-01-23,Hisar,18.35,42.67,56.0
2026-01-23,Jalandhar,34.4,45.8,40.0
2026-01-23,Karnal,33.2,35.6,63.25
2026-01-23,Ludhiana,25.95,67.5,83.0
2026-01-23,Meerut,25.82,85.0,64.33
2026-01-23,Moga,22.3,65.01,70.5
2026-01-23,Patiala,19.25,83.85,45.0
2026-01-23,Sirsa,30.4,42.16,59.0
2026-01-24,Agra,31.0,45.82,54.0
2026-01-24,Ambala,33.0,36.2,88.0
2026-01-24,Amritsar,23.82,237.57,60.25
2026-01-24,Bathinda,38.0,27.18,88.0
2026-01-24,Fatehabad,26.83,136.83,69.6
2026-01-24,Ferozepur,19.0,37.8,
2026-01-24,Hisar,24.0,103.79,68.25
2026-01-24,Jalandhar,26.32,86.43,68.2
2026-01-24,Karnal,18.55,32.9,44.5
2026-01-24,Kurukshetra,31.87,91.05,72.0
2026-01-24,Ludhiana,24.3,134.58,64.0
2026-01-24,Meerut,23.45,99.6,50.0
2026-01-24,Moga,26.0,179.59,58.2
2026-01-24,Muzaffarnagar,25.4,40.39,70.0
2026-01-24,Patiala,15.5,32.6,30.0
2026-01-24,Saharanpur,26.38,83.81,79.0
2026-01-24,Sirsa,29.43,36.29,65.67
2026-01-25,Agra,24.83,111.79,52.4
2026-01-25,Ambala,26.1,6.6,88.5
2026-01-25,Amritsar,23.05,35.5,62.0
2026-01-25,Bareilly,35.43,56.67,50.67
2026-01-25,Bathinda,28.26,71.63,81.67
2026-01-25,Fatehabad,31.04,145.18,46.0
2026-01-25,Ferozepur,28.36,101.8,57.33
2026-01-25,Hisar,27.42,81.4,57.8
2026-01-25,Jalandhar,21.4,92.8,74.0
2026-01-25,Karnal,28.82,67.6,57.67
2026-01-25,Kurukshetra,37.15,10.9,54.0
2026-01-25,Ludhiana,27.97,140.41,71.0
2026-01-25,Meerut,28.72,107.2,51.0
2026-01-25,Moga,30.0,15.1,77.5
2026-01-25,Muzaffarnagar,33.1,118.27,55.25
2026-01-25,Patiala,18.55,12.2,60.0
2026-01-25,Saharanpur,30.73,44.5,50.0
2026-01-25,Sirsa,27.6,82.65,58.25
2026-01-26,Agra,20.23,100.35,44.0
2026-01-26,Ambala,24.7,37.34,
2026-01-26,Amritsar,29.26,106.6,73.0
2026-01-26,Bareilly,29.5,92.27,66.0
2026-01-26,Bathinda,29.7,37.1,60.0
2026-01-26,Fatehabad,30.89,217.82,56.0
2026-01-26,Ferozepur,31.47,88.9,89.0
2026-01-26,Hisar,25.65,46.59,77.5
2026-01-26,Jalandhar,30.45,62.3,71.0
2026-01-26,Karnal,25.3,79.4,76.5
2026-01-26,Kurukshetra,27.37,185.24,60.14
2026-01-26,Ludhiana,24.4,47.9,48.33
2026-01-26,Meerut,25.7,9.1,71.0
2026-01-26,Moga,22.65,10.41,64.0
2026-01-26,Muzaffarnagar,25.65,46.74,83.5
2026-01-26,Patiala,21.2,29.78,66.5
2026-01-26,Saharanpur,15.1,31.5,50.0
2026-01-26,Sirsa,34.56,118.59,59.4
2026-01-27,Agra,27.2,21.2,72.33
2026-01-27,Ambala,32.9,40.0,69.0
2026-01-27,Amritsar,26.35,26.83,64.0
2026-01-27,Bareilly,27.17,20.0,79.0
2026-01-27,Bathinda,21.05,69.01,76.0
2026-01-27,Fatehabad,39.4,10.5,56.0
2026-01-27,Ferozepur,32.7,4.3,64.0
2026-01-27,Hisar,25.9,40.4,55.0
2026-01-27,Jalandhar,26.7,140.21,54.0
2026-01-27,Karnal,26.18,123.91,67.8
2026-01-27,Kurukshetra,24.93,26.16,56.0
2026-01-27,Ludhiana,23.45,6.9,69.5
2026-01-27,Meerut,24.58,132.46,69.5
2026-01-27,Moga,31.6,16.0,86.0
2026-01-27,Muzaffarnagar,26.1,28.86,38.0
2026-01-27,Patiala,34.3,17.27,44.0
2026-01-27,Saharanpur,27.93,69.66,63.33
2026-01-27,Sirsa,22.2,24.6,47.0
2026-01-28,Agra,26.4,87.36,66.0
2026-01-28,Ambala,34.05,9.8,67.0
2026-01-28,Amritsar,30.78,107.6,57.4
2026-01-28,Bareilly,27.02,94.96,76.5
2026-01-28,Bathinda,35.05,44.96,62.0
2026-01-28,Fatehabad,35.05,46.7,83.5
2026-01-28,Ferozepur,18.3,33.1,
2026-01-28,Hisar,30.15,45.02,65.5
2026-01-28,Jalandhar,24.72,138.67,79.25
2026-01-28,Kurukshetra,34.75,60.02,59.75
2026-01-28,Ludhiana,18.8,24.81,75.0
2026-01-28,Moga,29.8,86.8,47.5
2026-01-28,Muzaffarnagar,26.45,102.83,63.0
2026-01-28,Patiala,27.14,81.68,66.4
2026-01-28,Saharanpur,22.0,30.99,39.0
2026-01-28,Sirsa,31.43,107.89,42.33
2026-01-29,Agra,23.13,67.09,67.5
2026-01-29,Ambala,35.8,16.1,
2026-01-29,Amritsar,26.35,45.0,73.0
2026-01-29,Bareilly,30.2,101.19,58.67
2026-01-29,Bathinda,25.83,62.34,66.0
2026-01-29,Fatehabad,35.3,68.58,66.5
2026-01-29,Hisar,26.12,55.0,56.25
2026-01-29,Jalandhar,27.3,94.74,37.5
2026-01-29,Karnal,33.5,9.2,94.0
2026-01-29,Kurukshetra,32.52,140.6,59.0
2026-01-29,Ludhiana,25.9,21.5,89.0
2026-01-29,Meerut,23.4,56.2,72.5
2026-01-29,Moga,31.38,175.2,55.4
2026-01-29,Muzaffarnagar,25.32,75.85,81.0
2026-01-29,Patiala,28.6,34.53,75.0
2026-01-29,Saharanpur,32.6,32.7,53.5
2026-01-29,Sirsa,23.93,105.06,60.0
2026-01-30,Agra,29.0,79.8,76.5
2026-01-30,Ambala,31.4,89.1,56.67
2026-01-30,Amritsar,24.9,150.67,61.67
2026-01-30,Bareilly,31.9,88.9,63.0
2026-01-30,Bathinda,39.3,23.62,87.0
2026-01-30,Fatehabad,29.23,59.18,62.67
2026-01-30,Ferozepur,26.72,164.7,64.0
2026-01-30,Hisar,26.77,64.57,69.5
2026-01-30,Jalandhar,32.0,2.9,47.0
2026-01-30,Karnal,32.48,98.56,67.6
2026-01-30,Kurukshetra,25.8,92.46,34.5
2026-01-30,Ludhiana,30.87,84.01,48.67
2026-01-30,Meerut,26.25,62.28,31.0
2026-01-30,Moga,24.98,127.3,62.8
2026-01-30,Muzaffarnagar,20.8,60.1,70.0
2026-01-30,Patiala,34.5,26.23,60.5
2026-01-30,Sirsa,34.9,0.5,43.0
2026-01-31,Agra,27.17,121.42,74.17
2026-01-31,Ambala,24.72,166.4,62.0
2026-01-31,Amritsar,27.86,90.02,61.4
2026-01-31,Bareilly,24.37,48.5,62.8
2026-01-31,Bathinda,23.68,48.21,51.2
2026-01-31,Fatehabad,23.4,47.59,74.67
2026-01-31,Ferozepur,24.98,154.05,70.6
2026-01-31,Hisar,33.65,41.44,80.0
2026-01-31,Jalandhar,34.8,41.6,89.0
2026-01-31,Karnal,30.4,0.0,76.0
2026-01-31,Kurukshetra,20.36,135.08,61.75
2026-01-31,Ludhiana,26.45,57.08,62.0
2026-01-31,Meerut,25.3,24.5,80.0
2026-01-31,Moga,30.75,69.34,58.67
2026-01-31,Muzaffarnagar,28.93,90.2,69.33
2026-01-31,Saharanpur,29.07,114.08,44.5
2026-01-31,Sirsa,27.8,27.1,58.0
2026-02-01,Agra,28.93,127.86,62.5
2026-02-01,Ambala,27.45,47.65,52.5
2026-02-01,Amritsar,25.97,61.08,70.67
2026-02-01,Bareilly,37.75,40.6,42.5
2026-02-01,Bathinda,28.34,163.8,64.0
2026-02-01,Fatehabad,25.72,216.06,54.83
2026-02-01,Ferozepur,28.07,71.87,58.0
2026-02-01,Hisar,25.8,78.58,64.75
2026-02-01,Jalandhar,29.07,107.6,60.0
2026-02-01,Karnal,18.6,0.0,
2026-02-01,Kurukshetra,32.8,104.63,50.25
2026-02-01,Ludhiana,36.2,41.4,67.5
2026-02-01,Meerut,18.47,56.15,67.67
2026-02-01,Moga,21.98,87.99,59.5
2026-02-01,Muzaffarnagar,34.03,95.5,79.67
2026-02-01,Patiala,22.76,148.95,63.2
2026-02-01,Saharanpur,23.0,0.0,49.0
2026-02-02,Agra,36.1,39.9,
2026-02-02,Ambala,28.35,74.08,67.67
2026-02-02,Amritsar,21.7,89.55,62.0
2026-02-02,Bareilly,16.3,0.76,
2026-02-02,Bathinda,24.7,87.82,55.33
2026-02-02,Fatehabad,31.7,48.7,91.0
2026-02-02,Ferozepur,26.9,57.8,66.67
2026-02-02,Hisar,32.44,67.99,70.75
2026-02-02,Jalandhar,23.02,95.74,62.5
2026-02-02,Karnal,24.77,41.5,54.0
2026-02-02,Kurukshetra,26.75,108.6,67.75
2026-02-02,Ludhiana,28.66,119.7,58.0
2026-02-02,Meerut,25.0,91.19,66.25
2026-02-02,Moga,35.4,37.44,91.5
2026-02-02,Muzaffarnagar,26.65,55.87,75.67
2026-02-02,Saharanpur,30.7,141.7,70.5
2026-02-02,Sirsa,36.75,19.56,54.5
2026-02-03,Agra,32.98,82.6,47.0
