arrival_id,arrival_date,mandi_id,crop,variety,arrival_quintal,was_negative_qty,farmer_count
ARR0009660,2026-01-01,MANDI049,Wheat,Premium,317.91,False,102.0
ARR0004340,2026-01-01,MANDI049,Paddy,HD-2967,124.05,False,30.0
ARR0011998,2026-01-01,MANDI050,Sugarcane,,153.82,False,9.0
,2026-01-01,MANDI050,Cotton,PBW-343,326.77,False,
ARR0000790,2026-01-01,MANDI052,Paddy,,391.11,False,
ARR0006916,2026-01-01,MANDI052,Sugarcane,,143.49,False,74.0
ARR0015647,2026-01-01,MANDI052,Wheat,,6.76,False,
ARR0017313,2026-01-01,MANDI052,Paddy,HD-2967,312.09,False,136.0
ARR0021336,2026-01-01,MANDI053,Wheat,Hybrid,118.21,False,47.0
ARR0023576,2026-01-01,MANDI053,Maize,Hybrid,347.38,False,86.0
ARR0010253,2026-01-01,MANDI054,Wheat,HD-2967,180.5,False,80.0
ARR0013213,2026-01-01,MANDI055,Cotton,,66.1,False,
ARR0008920,2026-01-01,MANDI057,Mustard,Pusa-1121,195.02,False,150.0
ARR0011701,2026-01-01,MANDI057,Cotton,Hybrid,123.37,False,75.0
ARR0000642,2026-01-02,MANDI001,Mustard,PBW-343,95.03,False,
ARR0018750,2026-01-02,MANDI001,Maize,HD-2967,58.14,False,134.0
ARR0009169,2026-01-02,MANDI001,Sugarcane,Local,112.05,False,
ARR0020397,2026-01-02,MANDI002,Wheat,,129.41,False,
ARR0012922,2026-01-02,MANDI002,Maize,HD-2967,403.78,False,32.0
ARR0016018,2026-01-02,MANDI002,Maize,,488.38,False,144.0
ARR0018644,2026-01-02,MANDI002,Sugarcane,Hybrid,485.14,False,56.0
ARR0012666,2026-01-02,MANDI003,Sugarcane,Pusa-1121,7.78,False,68.0
ARR0009350,2026-01-02,MANDI004,Cotton,Premium,289.72,False,
ARR0021882,2026-01-02,MANDI004,Mustard,Local,59.16,False,130.0
ARR0019101,2026-01-02,MANDI008,Cotton,,65.72,False,43.0
ARR0002916,2026-01-02,MANDI008,Sugarcane,Pusa-1121,273.18,False,73.0
ARR0002586,2026-01-02,MANDI008,Mustard,Local,352.55,False,
ARR0013307,2026-01-02,MANDI008,Mustard,PBW-343,276.78,False,30.0
ARR0009142,2026-01-02,MANDI008,Rice,,410.08,False,36.0
ARR0020162,2026-01-02,MANDI011,Sugarcane,Local,227.69,False,83.0
ARR0006964,2026-01-02,MANDI011,Cotton,Pusa-1121,3.3,False,110.0
ARR0016886,2026-01-02,MANDI011,Mustard,HD-2967,1.95,False,123.0
ARR0015764,2026-01-02,MANDI013,Cotton,HD-2967,146.55,False,104.0
ARR0016227,2026-01-02,MANDI013,Cotton,Pusa-1121,304.54,False,
ARR0018799,2026-01-02,MANDI014,Wheat,PBW-343,339.51,False,22.0
ARR0014262,2026-01-02,MANDI017,Maize,Premium,405.37,False,
ARR0006512,2026-01-02,MANDI018,Sugarcane,Hybrid,441.51,False,53.0
ARR0023637,2026-01-02,MANDI020,Sugarcane,Local,329.57,False,145.0
ARR0003434,2026-01-02,MANDI021,Rice,Local,223.31,False,41.0
ARR0006163,2026-01-02,MANDI021,Wheat,Hybrid,114.12,False,113.0
ARR0020456,2026-01-02,MANDI021,Sugarcane,Pusa-1121,361.38,False,95.0
ARR0005485,2026-01-02,MANDI021,Mustard,Pusa-1121,302.48,False,111.0
ARR0018793,2026-01-02,MANDI021,Rice,Local,343.49,False,
ARR0000719,2026-01-02,MANDI022,Maize,PBW-343,18.15,False,25.0
ARR0000280,2026-01-02,MANDI022,Mustard,Hybrid,131.92,False,
ARR0000719,2026-01-02,MANDI022,Maize,PBW-343,18.15,False,25.0
ARR0008237,2026-01-02,MANDI022,Maize,Local,427.57,False,115.0
ARR0023665,2026-01-02,MANDI022,Sugarcane,,431.37,False,111.0
ARR0020633,2026-01-02,MANDI023,Paddy,Local,134.79,False,120.0
ARR0022648,2026-01-02,MANDI024,Sugarcane,Pusa-1121,484.92,False,20.0
ARR0010227,2026-01-02,MANDI025,Cotton,,444.09,False,101.0
ARR0015620,2026-01-02,MANDI025,Cotton,Pusa-1121,271.9,False,125.0
ARR0020345,2026-01-02,MANDI025,Cotton,Hybrid,434.22,False,35.0
ARR0018923,2026-01-02,MANDI025,Mustard,Premium,1.38,False,72.0
ARR0006428,2026-01-02,MANDI026,Wheat,,183.07,False,
ARR0022574,2026-01-02,MANDI027,Cotton,Pusa-1121,101.65,False,58.0
ARR0015654,2026-01-02,MANDI027,Rice,,364.75,False,
ARR0018208,2026-01-02,MANDI027,Rice,Pusa-1121,306.6,False,11.0
ARR0005526,2026-01-02,MANDI029,Maize,PBW-343,311.41,False,102.0
ARR0017329,2026-01-02,MANDI029,Cotton,,3.51,False,84.0
ARR0017272,2026-01-02,MANDI030,Mustard,,376.58,False,64.0
ARR0007238,2026-01-02,MANDI030,Cotton,Premium,127.8,False,94.0
ARR0002134,2026-01-02,MANDI032,Rice,Premium,395.84,False,131.0
ARR0023437,2026-01-02,MANDI032,Cotton,Premium,125.76,False,140.0
ARR0017694,2026-01-02,MANDI032,Cotton,HD-2967,171.41,False,7.0
ARR0022156,2026-01-02,MANDI032,Rice,HD-2967,192.88,False,103.0
ARR0011970,2026-01-02,MANDI032,Sugarcane,PBW-343,479.78,False,
ARR0003114,2026-01-02,MANDI033,Maize,PBW-343,255.88,False,120.0
ARR0019552,2026-01-02,MANDI033,Sugarcane,Premium,265.38,False,32.0
ARR0020989,2026-01-02,MANDI033,Cotton,Hybrid,5.73,False,132.0
,2026-01-02,MANDI033,Cotton,PBW-343,324.91,False,54.0
ARR0020137,2026-01-02,MANDI034,Sugarcane,Pusa-1121,357.75,False,32.0
ARR0024812,2026-01-02,MANDI035,Sugarcane,,1.73,True,44.0
ARR0019223,2026-01-02,MANDI035,Cotton,HD-2967,389.51,False,53.0
ARR0001930,2026-01-02,MANDI036,Cotton,,212.63,False,96.0
ARR0019919,2026-01-02,MANDI036,Cotton,,276.3,False,115.0
ARR0023098,2026-01-02,MANDI036,Mustard,Local,273.15,False,117.0
ARR0018220,2026-01-02,MANDI037,Cotton,Premium,149.94,False,78.0
ARR0021173,2026-01-02,MANDI037,Mustard,Pusa-1121,54.71,False,32.0
ARR0020531,2026-01-02,MANDI037,Sugarcane,Local,365.55,False,
ARR0009702,2026-01-02,MANDI038,Wheat,Pusa-1121,356.62,False,
ARR0001128,2026-01-02,MANDI038,Wheat,PBW-343,408.72,False,
ARR0024272,2026-01-02,MANDI039,Mustard,PBW-343,75.17,False,22.0
,2026-01-02,MANDI039,Sugarcane,Hybrid,148.67,False,17.0
ARR0015241,2026-01-02,MANDI039,Mustard,Hybrid,384.84,False,54.0
ARR0014056,2026-01-02,MANDI040,Sugarcane,PBW-343,138.37,False,19.0
ARR0001575,2026-01-02,MANDI040,Wheat,HD-2967,178.77,False,29.0
ARR0023881,2026-01-02,MANDI041,Cotton,Hybrid,247.23,False,31.0
ARR0016269,2026-01-02,MANDI041,Sugarcane,Pusa-1121,398.76,False,77.0
,2026-01-02,MANDI041,Maize,HD-2967,491.24,False,
ARR0005197,2026-01-02,MANDI042,Cotton,PBW-343,83.52,False,139.0
ARR0011776,2026-01-02,MANDI043,Mustard,PBW-343,2.37,False,84.0
ARR0002803,2026-01-02,MANDI043,Sugarcane,HD-2967,217.77,False,13.0
ARR0021755,2026-01-02,MANDI044,Cotton,,413.03,False,99.0
ARR0023499,2026-01-02,MANDI046,Mustard,Local,343.72,False,91.0
ARR0003249,2026-01-02,MANDI046,Paddy,Hybrid,180.11,False,82.0
ARR0013457,2026-01-02,MANDI046,Wheat,,8.13,False,138.0
ARR0001309,2026-01-02,MANDI047,Wheat,Pusa-1121,170.41,False,113.0
ARR0010168,2026-01-02,MANDI048,Mustard,,96.89,False,130.0
ARR0015659,2026-01-02,MANDI049,Sugarcane,Local,331.51,False,63.0
,2026-01-02,MANDI049,Cotton,Pusa-1121,2.36,True,
ARR0007120,2026-01-02,MANDI049,Mustard,PBW-343,404.48,True,81.0
ARR0019497,2026-01-02,MANDI051,Maize,PBW-343,300.17,False,42.0
ARR0013665,2026-01-02,MANDI051,Mustard,HD-2967,296.75,False,132.0
ARR0005108,2026-01-02,MANDI052,Wheat,Pusa-1121,133.87,False,84.0
ARR0021284,2026-01-02,MANDI053,Cotton,,467.82,False,26.0
ARR0017578,2026-01-02,MANDI053,Paddy,Hybrid,341.6,False,50.0
ARR0003862,2026-01-02,MANDI053,Paddy,,9.28,False,146.0
ARR0009486,2026-01-02,MANDI054,Cotton,HD-2967,106.96,False,50.0
ARR0013291,2026-01-02,MANDI054,Maize,Hybrid,351.09,False,109.0
ARR0013359,2026-01-02,MANDI054,Cotton,HD-2967,285.21,False,89.0
ARR0015959,2026-01-02,MANDI054,Mustard,,327.01,True,129.0
ARR0021368,2026-01-02,MANDI054,Mustard,Hybrid,397.47,False,37.0
ARR0003557,2026-01-02,MANDI055,Mustard,PBW-343,195.87,False,112.0
ARR0019802,2026-01-02,MANDI056,Rice,Pusa-1121,458.23,False,134.0
ARR0008109,2026-01-03,MANDI001,Sugarcane,Pusa-1121,113.12,False,116.0
,2026-01-03,MANDI002,Mustard,,267.61,False,68.0
ARR0017014,2026-01-03,MANDI002,Wheat,Hybrid,267.4,False,16.0
ARR0001102,2026-01-03,MANDI002,Wheat,Pusa-1121,358.94,False,54.0
ARR0024811,2026-01-03,MANDI002,Sugarcane,Local,431.36,False,
ARR0021356,2026-01-03,MANDI002,Wheat,Hybrid,301.22,False,
ARR0023255,2026-01-03,MANDI002,Rice,HD-2967,2.3,False,50.0
ARR0007179,2026-01-03,MANDI003,Maize,Pusa-1121,1.51,True,146.0
ARR0016990,2026-01-03,MANDI003,Wheat,Hybrid,2.86,False,94.0
ARR0010862,2026-01-03,MANDI004,Maize,Pusa-1121,366.04,False,64.0
ARR0020926,2026-01-03,MANDI006,Rice,PBW-343,8.67,False,46.0
ARR0003621,2026-01-03,MANDI006,Maize,HD-2967,130.13,False,
ARR0020926,2026-01-03,MANDI006,Rice,PBW-343,8.67,False,46.0
ARR0007823,2026-01-03,MANDI006,Sugarcane,PBW-343,302.59,False,105.0
ARR0000580,2026-01-03,MANDI007,Sugarcane,PBW-343,313.63,False,48.0
ARR0005978,2026-01-03,MANDI007,Sugarcane,Hybrid,0.32,False,
ARR0022465,2026-01-03,MANDI007,Cotton,PBW-343,6.54,False,90.0
ARR0019580,2026-01-03,MANDI007,Wheat,Pusa-1121,44.44,False,94.0
ARR0006615,2026-01-03,MANDI007,Sugarcane,Pusa-1121,335.38,False,8.0
ARR0011007,2026-01-03,MANDI008,Mustard,Pusa-1121,3.66,False,14.0
ARR0023861,2026-01-03,MANDI009,Cotton,,343.22,False,141.0
ARR0006386,2026-01-03,MANDI009,Mustard,Local,13.32,False,124.0
ARR0014700,2026-01-03,MANDI009,Wheat,Premium,279.61,False,52.0
ARR0017340,2026-01-03,MANDI010,Paddy,Local,337.26,False,114.0
ARR0016681,2026-01-03,MANDI010,Sugarcane,Premium,425.75,False,102.0
ARR0014344,2026-01-03,MANDI010,Cotton,PBW-343,371.72,False,52.0
ARR0023833,2026-01-03,MANDI011,Mustard,Hybrid,381.0,False,76.0
ARR0002627,2026-01-03,MANDI012,Cotton,Hybrid,229.93,False,63.0
ARR0000270,2026-01-03,MANDI012,Mustard,HD-2967,483.58,False,
ARR0014515,2026-01-03,MANDI013,Cotton,Premium,5.29,False,
ARR0018264,2026-01-03,MANDI013,Wheat,,150.18,False,
ARR0015128,2026-01-03,MANDI014,Wheat,HD-2967,487.51,False,60.0
ARR0007554,2026-01-03,MANDI015,Wheat,HD-2967,45.36,False,22.0
ARR0003466,2026-01-03,MANDI015,Maize,Premium,212.4,False,27.0
ARR0022589,2026-01-03,MANDI015,Maize,Pusa-1121,352.76,False,5.0
ARR0001206,2026-01-03,MANDI016,Mustard,,5.33,False,131.0
ARR0024960,2026-01-03,MANDI016,Wheat,Premium,3.06,True,
,2026-01-03,MANDI016,Wheat,Premium,326.92,False,99.0
ARR0007618,2026-01-03,MANDI017,Maize,PBW-343,33.77,False,133.0
ARR0020561,2026-01-03,MANDI018,Maize,PBW-343,270.79,False,33.0
ARR0010387,2026-01-03,MANDI019,Sugarcane,,459.79,False,
ARR0018559,2026-01-03,MANDI020,Maize,PBW-343,146.64,False,56.0
ARR0011608,2026-01-03,MANDI020,Wheat,Hybrid,2.94,True,98.0
ARR0014412,2026-01-03,MANDI020,Cotton,Pusa-1121,104.53,True,116.0
ARR0021742,2026-01-03,MANDI021,Paddy,HD-2967,44.9,False,144.0
ARR0008295,2026-01-03,MANDI022,Maize,Premium,474.35,False,81.0
ARR0018782,2026-01-03,MANDI022,Wheat,Premium,7.58,False,127.0
ARR0004554,2026-01-03,MANDI022,Sugarcane,Premium,360.0,False,
ARR0020614,2026-01-03,MANDI023,Sugarcane,,227.9,False,93.0
ARR0000012,2026-01-03,MANDI023,Wheat,HD-2967,391.43,False,
ARR0019961,2026-01-03,MANDI025,Mustard,Hybrid,189.98,False,92.0
ARR0017701,2026-01-03,MANDI025,Mustard,,292.49,False,38.0
ARR0023921,2026-01-03,MANDI025,Sugarcane,Local,26.87,False,8.0
ARR0003982,2026-01-03,MANDI025,Wheat,,4.18,False,121.0
ARR0001943,2026-01-03,MANDI025,Cotton,,476.47,False,40.0
ARR0000761,2026-01-03,MANDI026,Mustard,Hybrid,107.25,False,127.0
ARR0008716,2026-01-03,MANDI027,Wheat,Pusa-1121,9.27,False,
ARR0010398,2026-01-03,MANDI028,Wheat,Premium,35.86,False,9.0
ARR0020156,2026-01-03,MANDI029,Mustard,,5.7,False,55.0
ARR0008196,2026-01-03,MANDI031,Sugarcane,Hybrid,132.32,False,
ARR0016409,2026-01-03,MANDI032,Paddy,Local,468.07,False,62.0
ARR0019997,2026-01-03,MANDI032,Maize,,78.1,False,33.0
ARR0021740,2026-01-03,MANDI033,Wheat,,443.26,False,7.0
ARR0021424,2026-01-03,MANDI034,Sugarcane,HD-2967,210.73,False,130.0
ARR0021424,2026-01-03,MANDI034,Sugarcane,HD-2967,210.73,False,130.0
ARR0015426,2026-01-03,MANDI034,Mustard,Local,138.44,False,
ARR0008203,2026-01-03,MANDI034,Sugarcane,Premium,165.95,False,55.0
,2026-01-03,MANDI035,Sugarcane,Pusa-1121,393.89,False,39.0
ARR0006722,2026-01-03,MANDI036,Rice,Hybrid,166.33,False,18.0
ARR0005763,2026-01-03,MANDI038,Sugarcane,Pusa-1121,7.14,False,66.0
ARR0005763,2026-01-03,MANDI038,Sugarcane,Pusa-1121,7.14,False,66.0
ARR0019310,2026-01-03,MANDI038,Mustard,,102.59,False,113.0
ARR0005890,2026-01-03,MANDI038,Sugarcane,,252.69,False,150.0
ARR0001412,2026-01-03,MANDI039,Wheat,Local,31.01,False,38.0
ARR0020187,2026-01-03,MANDI039,Maize,Hybrid,293.25,False,136.0
ARR0011186,2026-01-03,MANDI039,Mustard,Hybrid,70.78,False,107.0
ARR0005575,2026-01-03,MANDI039,Wheat,HD-2967,265.31,False,61.0
ARR0004876,2026-01-03,MANDI040,Cotton,Local,69.1,False,38.0
ARR0017073,2026-01-03,MANDI040,Sugarcane,HD-2967,17.96,False,54.0
ARR0018984,2026-01-03,MANDI041,Mustard,Local,234.01,False,88.0
ARR0016921,2026-01-03,MANDI041,Cotton,HD-2967,499.9,False,81.0
ARR0000140,2026-01-03,MANDI042,Rice,Premium,9.38,False,20.0
ARR0015081,2026-01-03,MANDI042,Cotton,Pusa-1121,227.48,False,63.0
ARR0008893,2026-01-03,MANDI043,Wheat,PBW-343,5.56,False,150.0
ARR0023913,2026-01-03,MANDI044,Maize,Local,3.15,True,81.0
ARR0024731,2026-01-03,MANDI045,Wheat,Local,218.62,False,41.0
ARR0022082,2026-01-03,MANDI046,Sugarcane,Premium,376.62,False,102.0
ARR0014776,2026-01-03,MANDI047,Mustard,PBW-343,313.16,False,
ARR0001370,2026-01-03,MANDI048,Sugarcane,PBW-343,222.78,False,25.0
ARR0009942,2026-01-03,MANDI048,Maize,Pusa-1121,311.87,False,48.0
ARR0012288,2026-01-03,MANDI049,Rice,Premium,176.81,False,50.0
ARR0002802,2026-01-03,MANDI049,Wheat,Pusa-1121,343.83,False,110.0
ARR0019384,2026-01-03,MANDI049,Wheat,Pusa-1121,107.52,False,25.0
ARR0008449,2026-01-03,MANDI049,Wheat,Pusa-1121,134.43,False,125.0
ARR0016853,2026-01-03,MANDI052,Wheat,Hybrid,3.18,False,59.0
ARR0017145,2026-01-03,MANDI052,Cotton,,32.83,False,
ARR0017507,2026-01-03,MANDI052,Wheat,,132.61,False,25.0
ARR0004417,2026-01-03,MANDI053,Mustard,HD-2967,294.84,False,130.0
ARR0007998,2026-01-03,MANDI053,Rice,HD-2967,5.77,False,28.0
ARR0015917,2026-01-03,MANDI053,Cotton,,203.11,False,61.0
ARR0006271,2026-01-03,MANDI054,Maize,PBW-343,183.92,False,
ARR0006394,2026-01-03,MANDI054,Cotton,Local,353.74,False,47.0
ARR0022544,2026-01-03,MANDI055,Sugarcane,Hybrid,219.77,False,58.0
ARR0003405,2026-01-03,MANDI056,Maize,HD-2967,358.8,False,127.0
ARR0012156,2026-01-03,MANDI056,Wheat,Pusa-1121,9.54,False,29.0
ARR0020167,2026-01-03,MANDI057,Mustard,HD-2967,101.16,False,
ARR0005281,2026-01-03,MANDI057,Paddy,Premium,2.26,True,83.0
ARR0009174,2026-01-03,MANDI057,Maize,Premium,6.82,False,53.0
ARR0002810,2026-01-03,MANDI057,Paddy,Hybrid,270.73,False,102.0
ARR0000828,2026-01-03,MANDI057,Paddy,Local,258.7,False,111.0
ARR0001347,2026-01-04,MANDI001,Rice,,112.26,False,8.0
ARR0001347,2026-01-04,MANDI001,Rice,,112.26,False,8.0
ARR0004634,2026-01-04,MANDI001,Sugarcane,Hybrid,431.21,False,115.0
ARR0010279,2026-01-04,MANDI002,Mustard,,443.68,False,
ARR0005521,2026-01-04,MANDI004,Maize,PBW-343,135.17,False,70.0
,2026-01-04,MANDI005,Cotton,Pusa-1121,90.18,False,149.0
ARR0024984,2026-01-04,MANDI008,Wheat,Pusa-1121,38.83,False,79.0
ARR0004909,2026-01-04,MANDI008,Cotton,Local,220.52,False,10.0
ARR0012185,2026-01-04,MANDI009,Rice,PBW-343,324.7,False,126.0
ARR0021404,2026-01-04,MANDI010,Sugarcane,,279.35,False,27.0
ARR0007143,2026-01-04,MANDI011,Mustard,,476.37,False,89.0
ARR0021579,2026-01-04,MANDI011,Maize,,358.05,False,126.0
ARR0017930,2026-01-04,MANDI011,Maize,PBW-343,19.06,False,
ARR0010344,2026-01-04,MANDI011,Paddy,,132.19,False,
ARR0012422,2026-01-04,MANDI012,Mustard,PBW-343,390.51,False,136.0
ARR0022255,2026-01-04,MANDI013,Maize,PBW-343,169.61,False,27.0
ARR0002937,2026-01-04,MANDI013,Maize,HD-2967,130.98,False,119.0
ARR0018351,2026-01-04,MANDI015,Sugarcane,PBW-343,4.4,True,44.0
ARR0011756,2026-01-04,MANDI015,Sugarcane,Premium,261.53,False,32.0
ARR0013076,2026-01-04,MANDI016,Maize,PBW-343,44.65,False,145.0
ARR0013289,2026-01-04,MANDI016,Mustard,HD-2967,324.37,False,32.0
ARR0009201,2026-01-04,MANDI016,Maize,Hybrid,6.01,False,48.0
ARR0023212,2026-01-04,MANDI019,Sugarcane,Pusa-1121,11.63,False,81.0
ARR0004960,2026-01-04,MANDI019,Cotton,Pusa-1121,417.02,False,137.0
,2026-01-04,MANDI020,Mustard,HD-2967,492.46,False,95.0
ARR0001830,2026-01-04,MANDI020,Paddy,HD-2967,344.09,False,93.0
ARR0024321,2026-01-04,MANDI021,Rice,Hybrid,313.36,False,57.0
ARR0024474,2026-01-04,MANDI021,Mustard,Hybrid,345.12,False,72.0
ARR0021056,2026-01-04,MANDI021,Sugarcane,,235.12,False,105.0
ARR0001805,2026-01-04,MANDI022,Wheat,HD-2967,0.48,True,147.0
ARR0023194,2026-01-04,MANDI022,Sugarcane,HD-2967,207.82,False,106.0
ARR0007651,2026-01-04,MANDI026,Wheat,,4.81,False,101.0
ARR0014758,2026-01-04,MANDI026,Sugarcane,HD-2967,226.23,False,
ARR0017450,2026-01-04,MANDI027,Maize,Hybrid,3.47,True,73.0
ARR0021571,2026-01-04,MANDI028,Mustard,Premium,69.55,False,
ARR0018613,2026-01-04,MANDI028,Paddy,PBW-343,209.77,False,83.0
ARR0012016,2026-01-04,MANDI028,Mustard,,323.09,False,6.0
ARR0016516,2026-01-04,MANDI029,Wheat,Hybrid,92.05,False,91.0
ARR0024317,2026-01-04,MANDI029,Maize,HD-2967,127.06,False,57.0
ARR0019857,2026-01-04,MANDI029,Maize,Pusa-1121,0.91,False,
ARR0008303,2026-01-04,MANDI030,Maize,Premium,493.3,False,
ARR0014160,2026-01-04,MANDI034,Cotton,Local,235.94,False,
ARR0005358,2026-01-04,MANDI035,Mustard,Hybrid,492.84,False,20.0
ARR0017726,2026-01-04,MANDI035,Sugarcane,HD-2967,264.84,False,112.0
ARR0003103,2026-01-04,MANDI036,Wheat,,348.23,False,80.0
ARR0023429,2026-01-04,MANDI036,Mustard,Local,33.73,False,118.0
ARR0001439,2026-01-04,MANDI038,Mustard,Hybrid,170.05,False,98.0
ARR0004589,2026-01-04,MANDI038,Wheat,,147.48,False,150.0
ARR0021330,2026-01-04,MANDI039,Mustard,Hybrid,294.97,False,115.0
