trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,was_impossible_duration,distance_km,vehicle_no_clean,driver_id,is_delayed
TRP002543,MANDI032,WH-North,2026-01-02 06:28:41,,13.8,False,779.5,RJ-76-DF-8565,DRV297,False
TRP002609,MANDI031,Export-Terminal,2026-01-02 06:29:00,,5.0,False,239.8,DL-82-CD-3482,DRV205,False
TRP006089,MANDI040,WH-Central,2026-01-02 06:48:00,2026-01-02 23:48:09,17.0,False,817.1,RJ-46-CD-8362,,False
TRP007250,MANDI030,WH-West,2026-01-02 07:18:53,2026-01-03 00:30:53,17.2,False,800.5,,,False
TRP004591,MANDI033,WH-West,2026-01-02 07:23:26,,24.0,False,1179.5,DL-69-AB-4435,DRV503,False
TRP001258,MANDI056,WH-South,2026-01-02 08:17:00,2026-01-02 12:59:00,4.7,False,192.1,HR-48-BC-6897,DRV523,False
TRP005770,MANDI046,WH-Central,2026-01-02 08:26:58,2026-01-02 11:02:58,2.6,False,137.8,UP-38-CD-1573,DRV246,False
TRP008083,MANDI022,WH-Central,2026-01-02 09:46:00,2026-01-03 04:52:00,19.1,False,1136.3,HR-99-DF-5377,DRV376,False
TRP007600,MANDI051,WH-Central,2026-01-02 10:35:47,2026-01-02 19:53:47,9.3,False,409.9,DL-25-BC-9471,,False
TRP008724,MANDI045,WH-North,2026-01-02 10:40:56,2026-01-02 23:28:00,12.78,False,602.6,HR-84-BC-4665,DRV834,False
TRP007175,MANDI024,WH-Central,2026-01-02 11:51:00,,8.2,False,333.4,UP-49-DF-4317,DRV447,False
TRP006198,MANDI018,WH-Central,2026-01-02 11:59:00,2026-01-02 17:05:00,5.1,False,278.3,UP-64-CD-8671,DRV467,False
TRP003365,MANDI009,WH-Central,2026-01-02 12:02:00,2026-01-03 02:56:55,14.92,False,889.5,UP-33-AB-5085,DRV218,False
TRP003617,MANDI029,WH-Central,2026-01-02 12:37:00,,16.8,False,694.5,HR-43-AB-5188,DRV182,False
TRP006057,MANDI036,WH-West,2026-01-02 12:55:14,2026-01-03 09:55:14,21.0,False,1068.8,PB-98-BC-7899,DRV667,False
TRP002728,MANDI056,WH-West,2026-01-02 12:59:40,2026-01-02 22:53:00,9.89,False,402.9,RJ-54-CD-4580,DRV161,False
TRP002523,MANDI029,WH-East,2026-01-02 13:00:56,2026-01-03 02:54:56,13.9,False,825.0,HR-63-DF-1579,DRV720,False
TRP000117,MANDI051,WH-South,2026-01-02 13:16:51,2026-01-03 12:34:00,23.29,False,1256.1,HR-57-CD-5729,DRV465,False
TRP002322,MANDI027,WH-West,2026-01-02 13:54:00,2026-01-03 08:42:00,18.8,False,1090.7,DL-44-AB-6477,DRV243,False
TRP004884,MANDI024,WH-West,2026-01-02 13:56:03,2026-01-02 23:32:00,9.6,False,533.7,HR-83-AB-8535,DRV853,False
TRP000090,MANDI036,WH-East,2026-01-02 14:07:24,2026-01-02 17:13:24,3.1,False,149.8,PB-17-BC-1200,DRV730,False
TRP008490,MANDI013,WH-East,2026-01-02 14:23:06,2026-01-03 02:23:06,12.0,False,501.9,,DRV353,False
TRP006338,MANDI055,WH-South,2026-01-02 14:29:00,2026-01-03 04:35:02,14.1,False,820.0,HR-97-DF-7444,DRV101,False
TRP002254,MANDI042,WH-West,2026-01-02 15:17:00,,19.6,False,,UP-19-DF-7460,DRV640,False
TRP000432,MANDI047,WH-West,2026-01-02 16:35:00,2026-01-03 13:41:00,21.1,False,893.8,HR-26-BC-1700,,False
TRP001056,MANDI037,WH-East,2026-01-02 18:00:31,2026-01-03 13:18:31,19.3,False,1122.5,HR-27-AB-4032,DRV151,False
TRP008988,MANDI005,WH-East,2026-01-02 18:39:34,2026-01-03 00:00:00,5.34,False,712.7,HR-23-AB-6771,DRV724,False
TRP002281,MANDI049,WH-East,2026-01-02 18:44:00,2026-01-03 11:02:44,16.31,False,801.0,RJ-73-DF-7361,DRV573,True
TRP006891,MANDI008,WH-West,2026-01-02 19:16:00,2026-01-03 18:28:00,23.2,False,1118.0,RJ-37-CD-3129,DRV596,True
TRP002334,MANDI028,WH-West,2026-01-02 19:37:05,2026-01-03 03:55:05,8.3,False,353.8,RJ-60-AB-1922,DRV144,False
TRP004683,MANDI025,WH-West,2026-01-02 19:38:57,2026-01-03 19:14:57,23.6,False,1128.0,DL-13-DF-4576,DRV906,True
TRP001074,MANDI009,WH-West,2026-01-02 19:44:19,2026-01-03 00:02:19,4.3,False,249.9,DL-25-AB-3202,,False
TRP002487,MANDI031,Export-Terminal,2026-01-02 20:47:47,2026-01-03 13:41:47,16.9,False,1007.0,DL-78-BC-8627,DRV196,False
TRP008714,MANDI037,Export-Terminal,2026-01-02 20:56:03,2026-01-03 12:32:03,15.6,False,746.2,DL-35-BC-4901,,False
TRP008867,MANDI020,WH-Central,2026-01-02 21:15:36,2026-01-03 11:57:00,14.69,False,633.4,HR-39-AB-3667,DRV399,False
TRP008008,MANDI012,WH-West,2026-01-02 21:38:52,2026-01-03 02:32:52,4.9,False,249.7,PB-17-DF-9526,DRV788,False
TRP007270,MANDI021,WH-South,2026-01-02 21:57:16,2026-01-03 00:33:16,2.6,False,,UP-31-CD-1157,DRV923,False
TRP004230,MANDI031,WH-West,2026-01-02 22:49:26,2026-01-03 09:01:00,10.19,False,570.2,UP-21-CD-2855,DRV611,False
TRP006838,MANDI056,WH-West,2026-01-02 23:18:00,2026-01-03 18:00:00,18.7,False,908.8,DL-73-DF-9297,DRV350,False
TRP007596,MANDI048,WH-East,2026-01-02 23:50:35,2026-01-03 13:14:35,13.4,False,654.2,,DRV970,False
TRP004969,MANDI033,WH-West,2026-01-03 00:00:00,2026-01-04 16:00:47,40.01,False,860.8,RJ-17-DF-4589,,True
TRP001897,MANDI038,WH-North,2026-01-03 00:00:00,2026-01-04 15:20:00,39.33,False,1120.8,HR-67-BC-1099,DRV356,True
TRP007772,MANDI002,WH-East,2026-01-03 00:00:00,2026-01-03 22:21:25,22.36,False,995.9,PB-60-CD-7195,DRV579,True
TRP009404,MANDI057,WH-East,2026-01-03 00:00:00,2026-01-03 14:14:00,14.23,False,236.8,,DRV285,False
TRP005753,MANDI001,WH-West,2026-01-03 00:19:24,2026-01-03 17:01:00,16.69,False,755.5,DL-21-BC-9959,DRV363,False
TRP003862,MANDI018,WH-South,2026-01-03 01:19:26,2026-01-03 04:37:00,3.29,False,155.2,DL-61-CD-1383,,False
TRP003055,MANDI034,Export-Terminal,2026-01-03 01:27:04,2026-01-04 01:21:00,23.9,False,,RJ-91-BC-6196,DRV497,True
TRP000447,MANDI039,WH-West,2026-01-03 01:58:00,2026-01-03 17:58:00,16.0,False,676.8,UP-81-CD-5324,DRV756,False
TRP001546,MANDI023,Export-Terminal,2026-01-03 02:12:00,2026-01-03 16:30:22,14.31,False,592.6,UP-85-DF-2611,DRV304,False
TRP000100,MANDI030,WH-East,2026-01-03 02:21:00,2026-01-03 12:39:10,10.3,False,,RJ-40-AB-1128,DRV298,False
TRP003947,MANDI041,WH-East,2026-01-03 02:33:00,2026-01-03 04:45:00,2.2,False,93.3,DL-48-DF-3701,DRV230,False
TRP007577,MANDI024,WH-North,2026-01-03 03:19:43,2026-01-03 20:55:43,17.6,False,986.1,PB-12-DF-7674,DRV811,True
TRP006048,MANDI003,WH-Central,2026-01-03 04:01:09,2026-01-03 00:00:00,4.02,True,740.3,PB-22-BC-9889,,False
TRP005244,MANDI027,WH-Central,2026-01-03 06:09:32,,15.4,False,795.9,RJ-63-AB-1050,DRV125,False
TRP007035,MANDI037,WH-Central,2026-01-03 07:07:00,2026-01-03 17:19:15,10.2,False,441.8,,,False
TRP008598,MANDI026,WH-West,2026-01-03 07:58:29,,9.1,False,378.3,DL-83-CD-9064,DRV140,False
TRP000416,MANDI048,WH-East,2026-01-03 08:17:00,2026-01-03 23:05:03,14.8,False,887.5,DL-52-BC-2396,DRV439,False
TRP003628,MANDI027,WH-West,2026-01-03 09:36:00,2026-01-03 14:24:00,4.8,False,194.1,RJ-61-CD-3556,DRV704,False
TRP002376,MANDI007,WH-East,2026-01-03 09:53:31,2026-01-03 23:29:31,13.6,False,626.1,PB-97-DF-7058,DRV491,False
TRP000944,MANDI009,WH-North,2026-01-03 10:47:00,2026-01-04 02:59:32,16.21,False,786.6,RJ-94-DF-2738,DRV997,True
TRP009416,MANDI053,WH-South,2026-01-03 11:05:09,2026-01-03 16:41:09,5.6,False,297.8,UP-45-BC-6576,,False
TRP004331,MANDI036,WH-East,2026-01-03 11:17:08,2026-01-03 13:29:08,2.2,False,125.0,HR-56-AB-6587,DRV208,False
TRP002034,MANDI011,WH-Central,2026-01-03 12:15:14,,8.7,False,517.8,DL-38-AB-4096,,False
TRP008026,MANDI030,Export-Terminal,2026-01-03 12:38:56,2026-01-03 17:38:56,5.0,False,246.6,UP-68-BC-7959,DRV475,False
TRP002504,MANDI040,WH-Central,2026-01-03 12:40:00,2026-01-04 05:22:00,16.7,False,919.3,UP-41-BC-6210,,False
TRP001875,MANDI020,WH-East,2026-01-03 13:38:15,2026-01-04 04:38:15,15.0,False,789.4,RJ-21-BC-1147,DRV628,False
TRP007890,MANDI055,WH-Central,2026-01-03 14:01:01,,13.0,False,601.3,PB-36-AB-4622,DRV425,False
TRP001675,MANDI033,WH-South,2026-01-03 15:32:00,2026-01-04 00:02:42,8.51,False,,,DRV502,False
TRP007095,MANDI048,WH-West,2026-01-03 15:51:00,2026-01-03 19:33:02,3.7,False,185.0,UP-55-BC-6992,DRV125,False
TRP005414,MANDI004,WH-South,2026-01-03 16:29:00,,7.0,False,324.2,RJ-67-AB-5318,,False
TRP001746,MANDI027,Export-Terminal,2026-01-03 17:12:30,2026-01-04 16:06:30,22.9,False,1195.2,,DRV584,True
TRP003504,MANDI018,WH-West,2026-01-03 17:19:02,2026-01-04 08:19:02,15.0,False,684.9,UP-34-DF-8453,DRV411,False
TRP003709,MANDI016,Export-Terminal,2026-01-03 17:49:20,2026-01-04 06:01:00,12.19,False,683.4,HR-90-AB-9814,DRV498,False
TRP001844,MANDI006,WH-East,2026-01-03 18:17:00,2026-01-04 06:11:00,11.9,False,477.6,,,False
TRP001551,MANDI010,WH-South,2026-01-03 18:43:22,2026-01-04 00:19:22,5.6,False,,HR-66-DF-3745,,False
TRP000043,MANDI012,WH-North,2026-01-03 18:47:09,2026-01-03 21:59:09,3.2,False,182.7,PB-31-AB-8688,DRV291,False
TRP004953,MANDI021,WH-West,2026-01-03 19:29:28,2026-01-03 22:11:00,2.69,False,,HR-67-DF-3818,DRV627,False
TRP000362,MANDI016,WH-Central,2026-01-03 19:54:00,,13.8,False,759.0,UP-76-BC-3753,DRV638,False
TRP005817,MANDI012,WH-Central,2026-01-03 20:34:16,2026-01-04 15:52:16,19.3,False,1117.3,PB-34-AB-8727,DRV725,False
TRP002079,MANDI045,WH-North,2026-01-03 20:54:59,,21.3,False,1179.8,UP-35-DF-5288,DRV780,True
TRP001247,MANDI028,WH-North,2026-01-03 21:20:09,2026-01-04 19:44:00,22.4,False,1264.7,PB-41-DF-3429,DRV864,True
TRP004330,MANDI014,WH-South,2026-01-03 22:36:00,2026-01-04 07:54:37,9.31,False,,RJ-92-BC-2157,DRV223,False
TRP000065,MANDI057,WH-West,2026-01-03 23:03:00,2026-01-04 14:51:19,15.81,False,,PB-53-DF-8704,,False
TRP004235,MANDI030,WH-East,2026-01-03 23:34:00,2026-01-04 16:28:00,16.9,False,800.4,RJ-10-CD-3560,,False
TRP007404,MANDI002,WH-West,2026-01-04 00:00:00,2026-01-05 12:06:10,36.1,False,752.1,DL-42-BC-6075,DRV211,True
TRP005631,MANDI037,WH-Central,2026-01-04 00:00:00,2026-01-05 14:36:00,38.6,False,841.5,UP-75-DF-5885,DRV458,True
TRP004008,MANDI001,WH-West,2026-01-04 00:00:00,2026-01-05 11:48:00,35.8,False,966.9,RJ-72-BC-3985,DRV976,True
TRP008184,MANDI053,WH-East,2026-01-04 00:00:00,2026-01-05 16:14:06,40.24,False,1198.4,UP-39-AB-5111,DRV128,True
TRP000700,MANDI023,WH-Central,2026-01-04 00:10:45,2026-01-04 18:22:00,18.19,False,1032.4,RJ-36-CD-4313,DRV426,False
TRP000473,MANDI005,Export-Terminal,2026-01-04 00:17:00,2026-01-04 05:17:45,5.01,False,243.1,UP-45-BC-3310,DRV115,False
TRP004099,MANDI003,WH-Central,2026-01-04 00:24:09,2026-01-04 18:06:09,17.7,False,893.0,RJ-83-AB-3026,DRV559,False
TRP005436,MANDI040,WH-North,2026-01-04 00:26:21,2026-01-04 22:38:00,22.19,False,952.6,UP-82-AB-9045,DRV560,True
TRP008438,MANDI043,WH-West,2026-01-04 00:44:00,2026-01-04 05:26:00,4.7,False,208.5,DL-95-BC-2360,DRV148,False
TRP000042,MANDI036,WH-South,2026-01-04 01:46:03,2026-01-04 16:34:03,14.8,False,790.0,UP-18-DF-9882,DRV470,False
TRP001753,MANDI035,WH-Central,2026-01-04 03:02:00,2026-01-04 12:50:56,9.82,False,583.4,,DRV737,False
TRP009401,MANDI008,WH-East,2026-01-04 03:11:00,,13.0,False,762.8,RJ-26-AB-4496,,False
TRP006062,MANDI016,WH-South,2026-01-04 04:15:00,2026-01-04 16:33:44,12.31,False,,UP-53-AB-2181,DRV169,False
TRP009129,MANDI017,WH-South,2026-01-04 04:28:00,2026-01-04 13:28:26,9.01,False,,HR-25-AB-4640,DRV707,False
TRP009912,MANDI016,WH-East,2026-01-04 04:58:08,2026-01-04 13:40:08,8.7,False,470.4,,DRV150,False
TRP009706,MANDI026,WH-Central,2026-01-04 05:02:01,2026-01-04 08:14:01,3.2,False,152.1,DL-34-BC-1940,DRV275,False
TRP006917,MANDI021,Export-Terminal,2026-01-04 05:18:00,2026-01-04 20:42:00,15.4,False,877.9,PB-72-BC-3295,,False
TRP001615,MANDI047,WH-East,2026-01-04 07:47:00,2026-01-05 04:53:35,21.11,False,1041.6,UP-48-DF-7709,,True
TRP007469,MANDI033,WH-East,2026-01-04 08:34:59,2026-01-04 23:46:59,15.2,False,871.6,RJ-65-CD-3487,DRV201,False
TRP006001,MANDI016,WH-South,2026-01-04 09:00:00,2026-01-05 05:54:44,20.91,False,,PB-41-AB-5484,,False
TRP008043,MANDI050,WH-North,2026-01-04 10:12:12,2026-01-05 04:24:00,18.2,False,818.4,UP-16-DF-3305,DRV807,False
TRP006546,MANDI011,Export-Terminal,2026-01-04 11:07:16,2026-01-04 21:19:16,10.2,False,483.2,PB-50-BC-4458,DRV327,False
TRP005417,MANDI026,WH-North,2026-01-04 11:35:00,2026-01-05 06:53:54,19.32,False,831.3,PB-97-AB-2585,DRV402,True
TRP007594,MANDI053,WH-North,2026-01-04 11:40:02,2026-01-04 22:04:02,10.4,False,482.2,PB-78-CD-5240,DRV346,False
TRP001015,MANDI052,WH-Central,2026-01-04 11:49:13,2026-01-04 22:19:13,10.5,False,470.1,PB-63-DF-5455,DRV235,False
TRP007148,MANDI018,WH-South,2026-01-04 12:05:56,2026-01-05 02:05:56,14.0,False,661.6,HR-19-BC-7788,,False
TRP000393,MANDI041,WH-West,2026-01-04 12:42:14,2026-01-04 21:24:00,8.7,False,511.8,DL-15-DF-2199,DRV819,False
TRP002529,MANDI019,WH-Central,2026-01-04 14:02:00,2026-01-04 17:50:37,3.81,False,,,DRV668,False
TRP000547,MANDI044,WH-West,2026-01-04 15:06:40,2026-01-04 20:48:00,5.69,False,263.6,DL-51-BC-2072,DRV384,False
TRP008076,MANDI053,WH-North,2026-01-04 17:05:00,2026-01-05 03:59:20,10.91,False,444.3,RJ-23-DF-1062,DRV667,False
TRP005994,MANDI038,WH-Central,2026-01-04 17:35:00,2026-01-05 00:05:00,6.5,False,263.3,HR-22-AB-9328,DRV394,False
TRP006813,MANDI038,WH-South,2026-01-04 17:38:00,2026-01-04 20:26:38,2.81,False,162.5,,DRV566,False
TRP006177,MANDI036,WH-West,2026-01-04 18:01:00,2026-01-04 22:07:19,4.11,False,,PB-73-AB-4041,DRV497,False
TRP006177,MANDI036,WH-West,2026-01-04 18:01:00,2026-01-04 22:07:19,4.11,False,,PB-73-AB-4041,DRV497,False
TRP008214,MANDI008,WH-West,2026-01-04 18:06:00,2026-01-04 23:18:57,5.22,False,235.5,PB-26-DF-2538,DRV439,False
TRP009008,MANDI004,WH-North,2026-01-04 19:06:50,2026-01-05 00:00:00,4.89,False,443.0,DL-67-CD-1742,DRV972,False
TRP009131,MANDI050,WH-South,2026-01-04 19:13:05,2026-01-05 00:13:05,5.0,False,275.7,DL-69-BC-8184,DRV560,False
TRP006052,MANDI008,WH-Central,2026-01-04 19:20:00,2026-01-05 00:00:00,4.67,False,432.1,UP-70-DF-8680,,False
TRP000220,MANDI027,Export-Terminal,2026-01-04 20:46:53,2026-01-05 10:52:53,14.1,False,581.3,HR-69-BC-2901,DRV913,False
TRP005899,MANDI049,WH-West,2026-01-04 21:33:00,2026-01-05 00:00:00,2.45,False,,PB-37-BC-1109,,False
TRP009200,MANDI009,WH-West,2026-01-04 21:47:18,2026-01-05 01:17:00,3.5,False,148.7,UP-84-CD-4016,,False
TRP003523,MANDI025,WH-East,2026-01-04 21:47:51,2026-01-05 19:05:00,21.29,False,1253.8,HR-26-BC-4461,DRV262,True
TRP007898,MANDI042,WH-South,2026-01-04 22:28:00,,23.3,False,1006.2,HR-93-AB-9854,DRV765,True
TRP004598,MANDI036,WH-North,2026-01-04 22:43:00,2026-01-05 03:49:00,5.1,False,251.8,UP-92-BC-4562,DRV497,False
TRP005348,MANDI041,WH-West,2026-01-04 22:46:02,2026-01-05 14:58:02,16.2,False,733.6,HR-30-AB-6263,DRV854,False
TRP004017,MANDI032,WH-East,2026-01-04 23:07:20,,12.4,False,584.5,PB-14-CD-5487,DRV807,False
TRP001962,MANDI013,Export-Terminal,2026-01-04 23:15:31,2026-01-05 01:33:00,2.29,False,118.8,,,False
TRP007283,MANDI019,WH-North,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,False,674.4,UP-73-CD-9726,DRV602,False
TRP008590,MANDI001,WH-Central,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,False,89.8,UP-75-CD-6739,DRV596,False
TRP001047,MANDI048,WH-North,2026-01-05 00:00:00,2026-01-06 10:37:00,34.62,False,678.4,RJ-17-BC-8140,DRV327,True
TRP004274,MANDI001,WH-South,2026-01-05 00:25:00,2026-01-05 21:55:00,21.5,False,932.9,DL-70-BC-4675,DRV490,True
TRP006392,MANDI019,WH-East,2026-01-05 01:03:04,2026-01-05 16:33:04,15.5,False,855.2,RJ-61-BC-7259,DRV674,False
TRP004403,MANDI004,Export-Terminal,2026-01-05 01:29:55,2026-01-05 12:41:00,11.18,False,591.5,PB-39-AB-6589,DRV856,False
TRP007448,MANDI046,WH-East,2026-01-05 01:37:07,2026-01-05 08:19:00,6.7,False,345.4,HR-70-AB-2073,DRV574,False
TRP000054,MANDI055,WH-West,2026-01-05 02:51:00,,20.5,False,1073.2,PB-53-BC-2295,DRV354,False
TRP006978,MANDI045,WH-East,2026-01-05 03:13:40,2026-01-05 19:55:40,16.7,False,780.3,RJ-18-DF-8765,DRV108,False
TRP005471,MANDI022,WH-South,2026-01-05 03:28:15,2026-01-05 15:16:15,11.8,False,692.0,PB-87-AB-8843,DRV718,False
TRP003637,MANDI044,Export-Terminal,2026-01-05 03:35:00,2026-01-05 14:17:19,10.71,False,616.3,UP-68-CD-3513,DRV215,False
TRP008192,MANDI017,WH-East,2026-01-05 04:20:46,2026-01-05 14:26:46,10.1,False,411.5,UP-77-BC-2293,,False
TRP004188,MANDI023,WH-North,2026-01-05 05:02:32,2026-01-05 19:20:32,14.3,False,857.5,DL-18-CD-5086,DRV465,False
TRP001907,MANDI005,Export-Terminal,2026-01-05 05:13:39,2026-01-05 15:01:00,9.79,False,554.6,RJ-15-DF-1316,,False
TRP004335,MANDI024,WH-North,2026-01-05 06:54:20,2026-01-05 18:24:20,11.5,False,615.9,DL-22-CD-2751,DRV429,False
TRP004308,MANDI043,WH-South,2026-01-05 07:05:01,2026-01-06 03:29:01,20.4,False,1036.1,UP-97-BC-4262,DRV222,True
TRP001524,MANDI045,WH-East,2026-01-05 07:40:34,2026-01-06 04:58:00,21.29,False,1113.6,DL-31-CD-6863,DRV534,True
